title,writers,text
CMon People,Paul McCartney,"Well, we're going to, yeah, we're going to[SEP*] Get it right this time[SEP*] We're going to, really going to[SEP*] Raise it to the sky[SEP*] People are ready to forgive a few mistakes[SEP*] But let's get started, form a party[SEP*] Don't you know how long it takes?[SEP*] C'mon people, let the fun begin[SEP*] We've got a future and it's rushing in[SEP*] Call all the minstrels from the ancient shrine[SEP*] Pass down the message that it's right this time[SEP*] Well, I'm trying to, yeah, I'm crying to[SEP*] Lay it on the line[SEP*] We're trying to, really dying to[SEP*] Get it right this time[SEP*] So many yearning for the way it's gonna be[SEP*] Believe it when you see it happening to you[SEP*] You know it's real[SEP*] C'mon people, let the world begin[SEP*] We've got a future and it's charging in[SEP*] We'll make the best of all we have and more[SEP*] We'll do what never has been done before[SEP*] Oh yeah[SEP*] Oh yeah, oh yeah[SEP*] Oh yeah[SEP*] Oh yeah, oh yeah[SEP*] Well, I'm going to, yeah, I'm going to[SEP*] Get it right this time[SEP*] I'm going to, really going to[SEP*] Raise it to the sky[SEP*] I must admit I may have made a few mistakes[SEP*] But let's get started, form a party[SEP*] Don't you know how long it takes?[SEP*] So c'mon people, let the fun begin[SEP*] We've got a future and it's rushing in[SEP*] Call all the minstrels from the ancient shrine[SEP*] Pass down the message that it's right this time[SEP*] Oh yeah[SEP*] Oh yeah, oh yeah[SEP*] Oh yeah[SEP*] Oh yeah, oh yeah[SEP*] C'mon people, let the world begin[SEP*] We've got a future and it's charging in[SEP*] So c'mon people[SEP*] C'mon, c'mon, c'mon, c'mon, c'mon, c'mon[SEP*] C'mon people, oh yeah[SEP*] C'mon, c'mon[SEP*] Yeah, c'mon people"
The Pound is Sinking,Paul McCartney,"The pound is sinking[SEP*] The peso's falling[SEP*] The lira's reeling and feeling quite appalling[SEP*] The mark is holding, the franc is fading[SEP*] The drachma's very weak, but everyone's still trading[SEP*] The market's bottom has fallen right out[SEP*] And only the strong are survivors[SEP*] Well, I fear, my dear, that it's eminently clear[SEP*] That you can't see the trees for the forest[SEP*] Your father was an extraordinary man[SEP*] But you don't seem to have inherited many of his mannerisms[SEP*] Oh, any of his mannerisms[SEP*] The dollar's moving, the ruble's rising[SEP*] The yen is keeping up, which hardly seems surprising[SEP*] The market's bottom has fallen right out[SEP*] And only the stout are survivors[SEP*] Hear me, my lover (Hear me lover)[SEP*] I can't be held responsible now (Oh no, it wasn't me)[SEP*] For something that didn't happen (I didn't do it anyway)[SEP*] I knew you for a minute[SEP*] Oh, it didn't happen only for a minute[SEP*] Your heart just wasn't in it anymore[SEP*] Mmm, hmm[SEP*] The pound is sinking, the peso's falling[SEP*] The lira's reeling and feeling quite appalling[SEP*] Ooh, ooh, ooh"
Ballroom Dancing,Paul McCartney,"Well, I used to smile when I was a pup[SEP*] Sailing down the Nile in a china cup[SEP*] With the recipe for a lovely day[SEP*] Sticking out of my back pocket[SEP*] But it wasn't always such a pretty sight[SEP*] 'Cause we used to fight like cats and dogs[SEP*] Then we made it up in the ballroom[SEP*] Ballroom dancing made a man of me[SEP*] One, two, three, four[SEP*] I just plain adore your ballroom dancing[SEP*] Seen it on TV[SEP*] I got what I got from ballroom dancing[SEP*] Big B.D.[SEP*] Well, I used to fly when I was a kid[SEP*] And I didn't cry if it hurt a bit[SEP*] On a carpet ride to a foreign land[SEP*] At the time of Davy Crockett[SEP*] But it wasn't always such a pretty sight[SEP*] 'Cause we used to fight like cats and dogs[SEP*] Till we made it up in the ballroom[SEP*] Ballroom dancing made a man of me[SEP*] One, two, three, four[SEP*] I just plain adore your ballroom dancing[SEP*] Seen it on TV[SEP*] I got quite a lot from ballroom dancing[SEP*] Big B.D.[SEP*] ... I can tell you the band is ready. We're starting with the first of five dancers in this competition: that's the cha-cha-cha![SEP*] Well, it went so fast and we all grew up[SEP*] Now the days that passed in the china cup[SEP*] Are the memories of another day[SEP*] And I wouldn't want to knock it[SEP*] But it wasn't always such a pretty sight[SEP*] 'Cause we used to fight like cats and dogs[SEP*] Then we made it up in the ballroom[SEP*] Ballroom dancing made a man of me[SEP*] One, two, three, four[SEP*] I just plain adore your ballroom dancing[SEP*] Seen it on TV[SEP*] I got quite a lot from ballroom dancing[SEP*] Big B.D.[SEP*] Oh!"
Queenie Eye,Paul McCartney,"There were rules you never told me[SEP*] Never came up with a plan[SEP*] All the stories that you sold me[SEP*] Didn't help me understand[SEP*] But I had to get it worked out[SEP*] Had nobody who could help[SEP*] So then in the end it turned out[SEP*] That I had to do it[SEP*] By myself[SEP*] That's the game of rags to riches[SEP*] Dogs and bitches hunt for fame[SEP*] Until you think you know which way to turn[SEP*] Make the day all the switches[SEP*] Wicked witches fan the flame[SEP*] Careful what you touch in case you burn[SEP*] Queenie eye queenie eye who's got the ball[SEP*] I haven't got it, it isn't in my pocket[SEP*] O-U-T spells out[SEP*] That's out[SEP*] Without a shadow of a doubt[SEP*] She could put it in a pout[SEP*] Hear the people shout[SEP*] Hear the people shout[SEP*] Play the game, taking chances[SEP*] Every dance is much the same[SEP*] Doesn't matter which event you choose[SEP*] Never blame the circumstances[SEP*] With romances seldom came[SEP*] Never pick a fight you're gonna lose[SEP*] Queenie eye queenie eye who's got the ball[SEP*] I haven't got it, it isn't in my pocket[SEP*] O-U-T spells out[SEP*] That's out[SEP*] Without a shadow of a doubt[SEP*] She could put it in a pout[SEP*] Hear the people shout[SEP*] Hear the people shout[SEP*] It's a long way, to the finish[SEP*] When you've never been before[SEP*] I was nervous, but I did it[SEP*] Now I'm going back for more[SEP*] Ey, yeah ey yeah yeah[SEP*] Ey, yeah ey yeah yeah[SEP*] Hear the people shout[SEP*] Ey, yeah ey yeah yeah[SEP*] Queenie eye queenie eye who's got the ball[SEP*] I haven't got it, it isn't in my pocket[SEP*] O-U-T spells out[SEP*] That's out[SEP*] Without a shadow of a doubt[SEP*] She could put it in a pout[SEP*] Hear the people shout[SEP*] Hear the people shout"
It's Not True,Paul McCartney,"Some people say she's a bad girl[SEP*] Some people think she's a fool[SEP*] Some people tell me she's no good[SEP*] But I'm telling you[SEP*] It's not true, it's not true, it's not true[SEP*] They say that my girl's a mad girl[SEP*] No saying what she might do[SEP*] Some people tell me she's crazy[SEP*] But I'm telling you[SEP*] It's not true, it's not true, it's not true[SEP*] Ooh...ooh...ooh... They've been talking to the fellas[SEP*] Ooh...ooh...ooh... Have they never heard of jealousy?[SEP*] Ooh...ooh...ooh... If she helps me write the melody[SEP*] I'll let the words take care of themselves[SEP*] It's not true, it's not true, it's not true[SEP*] It's not true, it's not true, it's not true[SEP*] Ooh...ooh...ooh... They've been talking to the fellas[SEP*] Ooh...ooh...ooh... Have they never heard of jealousy?[SEP*] Ooh...ooh...ooh... If she helps me write the memories[SEP*] I'll let the words take care of themselves[SEP*] Some people say she's a loser[SEP*] Some people tell me that she's through[SEP*] Some people say I don't love her[SEP*] But I'm telling you[SEP*] It's not true, it's not true, it's not true[SEP*] What they're saying about her isn't true[SEP*] Don't you know it isn't true?[SEP*] It's not true..."
Somebody Who Cares,Paul McCartney,"When your body is coming apart at the seams[SEP*] And the whole thing's feeling low[SEP*] You're convincing yourself[SEP*] That there's nobody there, I know[SEP*] I know how you feel[SEP*] Like somebody has taken the wheels off your car[SEP*] When you had somewhere to go[SEP*] Well, it's annoying[SEP*] Not going to get very far, I know[SEP*] But somebody cares[SEP*] There's always someone, somewhere, you should know by now[SEP*] Always somebody who cares[SEP*] It's happening day in, day out[SEP*] Well, you know by now[SEP*] Always somebody who cares[SEP*] And if you don't know it, how will it find you?[SEP*] How will we know your whereabouts?[SEP*] But I know how you feel[SEP*] I know how you feel[SEP*] Like somebody has taken the wheels off your car[SEP*] When you had somewhere to go[SEP*] Well, it's frustrating[SEP*] Not going to get very far, I know[SEP*] But somebody cares[SEP*] There's always someone, somewhere, you should know by now[SEP*] Always somebody who cares[SEP*] It's happening day in, day out[SEP*] Well, you know by now[SEP*] Always somebody who cares[SEP*] And if you don't know it, how will it find you?[SEP*] How will we know your whereabouts?[SEP*] But I know how you feel"
On My Way To Work,Paul McCartney,On my way to work[SEP*] I rode a big green bus[SEP*] I could see everything[SEP*] From the upper deck[SEP*] People came and went[SEP*] Smoking cigarettes[SEP*] I picked the packets up[SEP*] When the people left[SEP*] But all the time I thought of you[SEP*] How far away the future seemed[SEP*] How could I have so many dreams?[SEP*] And one of them not come true[SEP*] On my way to work[SEP*] I bought a magazine[SEP*] Inside a pretty girl[SEP*] Who liked to water-ski[SEP*] She came from Chichester[SEP*] To study history[SEP*] She had removed her clothes[SEP*] For the likes of me[SEP*] But all the time I thought of you[SEP*] How would you know that I was there[SEP*] How could I soul-search everywhere[SEP*] Without knowing what to do[SEP*] On my way to work[SEP*] As I was clocking in[SEP*] I could see everything[SEP*] How it came to be[SEP*] People come and go[SEP*] Smoking cigarettes[SEP*] I pick the packets up[SEP*] When the people leave[SEP*] But all the time I think of you[SEP*] How far away the future seems[SEP*] How could I have so many dreams[SEP*] And one of them not come true[SEP*] On my way to work[SEP*] But all the time I thought of you[SEP*] How would you know that I was there[SEP*] How could I soul-search everywhere[SEP*] Without knowing what to do[SEP*] On my way to work[SEP*] On my way to work
Talk More Talk,Paul McCartney,"A master can highlight the phrases[SEP*] Sleazy instruments, half talked, half baked ideas...[SEP*] Dad, you didn't say O.K....[SEP*] The window was open, outside was a spaceship[SEP*] (A master can highlight the phrases) It took off into the sky[SEP*] Leaving a trail of smoke behind it...[SEP*] Short of the standard[SEP*] Was it the sun?[SEP*] What was rehearsal?[SEP*] Conventional drum?[SEP*] Not quite a hundred[SEP*] Less than a ton[SEP*] Clearly the time came, the plan had begun[SEP*] With talk, more talk[SEP*] Chat, more chat[SEP*] Words of a feather are worn in a hat[SEP*] Talk, more talk[SEP*] Chat, more chat[SEP*] I'm happy to do it for you...[SEP*] Developed since earlier days at the school[SEP*] Cheapest sensations were used as a rule[SEP*] Outstanding to memory, major free flow[SEP*] Bio-degradable, look out below for...[SEP*] Talk, more talk[SEP*] Oh I love to hear the gentle sound[SEP*] Of conversation sprinkled around[SEP*] A room where I can be at one with you for...[SEP*] Talk, more talk[SEP*] Chat, more chat[SEP*] Words of a feather are worn in a hat[SEP*] Talk, more talk[SEP*] Chat, more chat[SEP*] Happy to do it for you...[SEP*] I'm happy to do it for you...[SEP*] I'm happy to do it for you[SEP*] I'm happy to do it[SEP*] I'm happy to do it...[SEP*] I'm happy to do it for you[SEP*] Digital organ, finishing stretch[SEP*] Instrumentation, analogue Gretsch[SEP*] Not quite a thousand, lower than that[SEP*] Possible bargain for listening at that...[SEP*] Talk, more talk[SEP*] Chat, more chat[SEP*] Words of a feather are worn in a hat[SEP*] Talk, more talk[SEP*] Chat, more chat[SEP*] I'm happy to do it for you...[SEP*] All you want is a handyman[SEP*] And all you want is quick service[SEP*] Because I'm a house owner[SEP*] I'm a house owner[SEP*] It may be worth something someday[SEP*] I hear water going through the pipes[SEP*] I don't actually like sitting down music[SEP*] Music is idea[SEP*] Talk, more talk[SEP*] Chat, more chat[SEP*] Words of a feather are worn in a hat[SEP*] Talk, more talk[SEP*] Chat, more chat[SEP*] A master can tell[SEP*] Highlight the phrases[SEP*] His words to digress[SEP*] Grey flannel trousers...[SEP*] Grey flannel trousers[SEP*] A blazer and grey flannel trousers"
Tug of War,Paul McCartney,"It's a tug of war[SEP*] What with one thing and another[SEP*] It's a tug of war[SEP*] We expected more[SEP*] But with one thing and another[SEP*] We were trying to outdo each other[SEP*] In a tug of war[SEP*] In another world[SEP*] In another world[SEP*] We could stand on top of the mountain[SEP*] With our flag unfurled[SEP*] In a time to come[SEP*] In a time to come[SEP*] We will be dancing to the beat played[SEP*] On a different drum[SEP*] It's a tug of war[SEP*] Though I know I mustn't grumble[SEP*] It's a tug of war[SEP*] But I can't let go[SEP*] If I do you'll take a tumble[SEP*] And the whole thing is going to crumble[SEP*] It's a tug of war[SEP*] In years to come they may discover[SEP*] What the air we breathe and the life we lead[SEP*] Are all about[SEP*] But it won't be soon enough[SEP*] Soon enough for me[SEP*] No it won't be soon enough[SEP*] Soon enough for me[SEP*] In another world[SEP*] We could stand on top of the mountain[SEP*] With our flag unfurled[SEP*] In a time to come we will be dancing to the beat played[SEP*] On a different drum[SEP*] We will be dancing to the beat[SEP*] Played on a different drum[SEP*] We will be dancing to the beat[SEP*] Played on a different drum[SEP*] It's a tug of war, (a tug of war, a tug of war)[SEP*] What with one thing and another[SEP*] It's a tug of war[SEP*] We expected more[SEP*] But with one thing and another[SEP*] We were trying to outscore each other[SEP*] In a tug of war"
Dress Me Up As A Robber,Paul McCartney,"Well you can dress me up as a robber[SEP*] But I won't be in disguise[SEP*] Only love is a robber[SEP*] And he lives within your eyes[SEP*] Ooh, ooh eee ooh[SEP*] You can dress me up as a sailor[SEP*] But I'll never run to sea[SEP*] As long as your love is available to me[SEP*] What do I do with a sea of blue?[SEP*] Ooh, eee ooh[SEP*] Pa pa, pa pa, pa-ra-ra[SEP*] It doesn't make a difference[SEP*] What you want to do[SEP*] Whichever way you look at it[SEP*] I'm still in love with you[SEP*] If we go on forever[SEP*] I may never make a change[SEP*] And if I don't convince you[SEP*] You needn't look too far[SEP*] To see that I'm not lying[SEP*] 'Cause I love you the way you are[SEP*] And what's the point of changing[SEP*] When I'm happy as I am?[SEP*] Well you can dress me up as a soldier[SEP*] But I wouldn't know what for[SEP*] I was the one that told you he loved you[SEP*] Don't wanna go to another war[SEP*] No, no, no[SEP*] Pa, pa pa, pa-ra-ra"
