,train_id,subject,accuracy,correct,incorrect,error_rate,batch_size,epochs
0,29102024_110803,sentiment,"87,91208791208791",80,11,"12,087912087912088",30,10
1,29102024_110803,only-pos-neg-neu,"84,61538461538461",77,14,"15,384615384615385",30,10
2,29102024_110803,only-year-compound,"90,10989010989012",82,9,"9,89010989010989",30,10
3,29102024_110803,only-text,"89,01098901098901",81,10,"10,989010989010989",30,10
4,29102024_110803,only-year,"92,3076923076923",84,7,"7,6923076923076925",30,10
5,29102024_110803,only-compound,"84,61538461538461",77,14,"15,384615384615385",30,10
6,29102024_111126,sentiment,"86,81318681318682",79,12,"13,186813186813188",30,10
7,29102024_111126,only-pos-neg-neu,"72,52747252747253",66,25,"27,472527472527474",30,10
8,29102024_111126,only-year-compound,"75,82417582417582",69,22,"24,175824175824175",30,10
9,29102024_111126,only-text,"76,92307692307693",70,21,"23,076923076923077",30,10
10,29102024_111126,only-year,"78,02197802197803",71,20,"21,978021978021978",30,10
11,29102024_111126,only-compound,"74,72527472527473",68,23,"25,274725274725274",30,10
12,29102024_111447,sentiment,"80,21978021978022",73,18,"19,78021978021978",30,10
13,29102024_111447,only-pos-neg-neu,"84,61538461538461",77,14,"15,384615384615385",30,10
14,29102024_111447,only-year-compound,"84,61538461538461",77,14,"15,384615384615385",30,10
15,29102024_111447,only-text,"79,12087912087912",72,19,"20,87912087912088",30,10
16,29102024_111447,only-year,"89,01098901098901",81,10,"10,989010989010989",30,10
17,29102024_111447,only-compound,"83,51648351648352",76,15,"16,483516483516482",30,10
18,29102024_111809,sentiment,"84,61538461538461",77,14,"15,384615384615385",30,10
19,29102024_111809,only-pos-neg-neu,"75,82417582417582",69,22,"24,175824175824175",30,10
20,29102024_111809,only-year-compound,"84,61538461538461",77,14,"15,384615384615385",30,10
21,29102024_111809,only-text,"80,21978021978022",73,18,"19,78021978021978",30,10
22,29102024_111809,only-year,"92,3076923076923",84,7,"7,6923076923076925",30,10
23,29102024_111809,only-compound,"81,31868131868131",74,17,"18,681318681318682",30,10
24,29102024_112140,sentiment,"85,71428571428571",78,13,"14,285714285714285",30,10
25,29102024_112140,only-pos-neg-neu,"90,10989010989012",82,9,"9,89010989010989",30,10
26,29102024_112140,only-year-compound,"92,3076923076923",84,7,"7,6923076923076925",30,10
27,29102024_112140,only-text,"87,91208791208791",80,11,"12,087912087912088",30,10
28,29102024_112140,only-year,"94,5054945054945",86,5,"5,4945054945054945",30,10
29,29102024_112140,only-compound,"85,71428571428571",78,13,"14,285714285714285",30,10
30,29102024_112530,sentiment,"81,31868131868131",74,17,"18,681318681318682",30,10
31,29102024_112530,only-pos-neg-neu,"89,01098901098901",81,10,"10,989010989010989",30,10
32,29102024_112530,only-year-compound,"90,10989010989012",82,9,"9,89010989010989",30,10
33,29102024_112530,only-text,"85,71428571428571",78,13,"14,285714285714285",30,10
34,29102024_112530,only-year,"93,4065934065934",85,6,"6,593406593406594",30,10
35,29102024_112530,only-compound,"90,10989010989012",82,9,"9,89010989010989",30,10
36,29102024_112921,sentiment,"81,31868131868131",74,17,"18,681318681318682",30,10
37,29102024_112921,only-pos-neg-neu,"84,61538461538461",77,14,"15,384615384615385",30,10
38,29102024_112921,only-year-compound,"87,91208791208791",80,11,"12,087912087912088",30,10
39,29102024_112921,only-text,"78,02197802197803",71,20,"21,978021978021978",30,10
40,29102024_112921,only-year,"90,10989010989012",82,9,"9,89010989010989",30,10
41,29102024_112921,only-compound,"85,71428571428571",78,13,"14,285714285714285",30,10
42,29102024_113323,sentiment,"82,41758241758241",75,16,"17,582417582417584",30,10
