title,writers,text,year,neg,neu,pos,compound
Future Legend,David Bowie,"And in the death, As the last few corpses lay rotting on the slimy Thoroughfare, The shutters lifted in inches in Temperance Building, High on Poacher's Hill. And red, mutant, eyes gaze down on Hunger City. No more big wheels.[SEP*] Fleas the size of rats sucked on rats the size of cats, And ten thousand peoploids split into small tribes, Coveting the highest of the sterile skyscrapers, Like packs of dogs assaulting the glass fronts of Love-Me Avenue. Ripping and rewrapping mink and shiny silver fox, now leg-warmers. Family badge of sapphire and cracked emerald. [SEP*] Any day now, The year of the Diamond Dogs. ""This ain't Rock'n'Roll, This is Genocide.""",1974,0.118,0.842,0.04,-0.8591
American Land,Bruce Springsteen,"What is this land America, so many travel there I'm going now while I'm still young, my darling meet me there Wish me luck my lovely, I'll send for you when I can And we'll make our home in the American land[SEP*] Over there the women wear silk and satin to their knees Children dear, the sweets, I hear, are growing on the trees Gold comes rushing out the rivers straight into your hands If you make your home in the American land[SEP*] There's diamonds in the sidewalk, there's gutters lined in song Dear I hear that beer flows through the faucets all night long There's treasure for the taking, for any hard working man Who'll make his home in the American land[SEP*] I docked at Ellis Island in the city of light and spire Wandered to the valley of red-hot steel and fire Made the steel that built the cities with the sweat of our two hands We made our home in the American land[SEP*] There's diamonds in the sidewalk, there's gutters lined in song Dear I hear that beer flows through the faucets all night long There's treasure for the taking, for any hard working man Who will make his home in the American land[SEP*] The McNicholas, the Posalski's, the Smiths, Zerillis too The Blacks, the Irish, Italians, the Germans and the Jews Come across the water a thousand miles from home With nothin' in their bellies but the fire down below[SEP*] They died building the railroads, worked to bones and skin Died in the fields and factories, names scattered in the wind Died to get here a hundred years ago, they're dyin' now The hands that built the country we're always trying to keep down[SEP*] There's diamonds in the sidewalk, there's gutters lined in song Dear I hear that beer flows through the faucets all night long There's treasure for the taking, for any hard working man[SEP*] Who'll make his home in the American land Who'll make his home in the American land Who'll make his home in the American land",2006,0.064,0.858,0.077,-0.2846
Maybe Someday,Bob Dylan,"Maybe someday you'll be satisfied When you've lost everything you'll have nothing left to hide When you're through running over things like you're walking 'cross the tracks Maybe you'll beg me like a dog to take you back Maybe someday you'll find out everybody's somebody's fool Maybe then you'll realize what it would have taken to keep me cool Maybe someday when you're by yourself alone You'll know the love that I had for you was never my own[SEP*] Maybe someday you'll have nowhere to turn You'll look back and wonder 'bout the bridges you have burned You'll look back sometime when the lights grow dim And you'll see you look much better with me than you do with him Through hostile cities and unfriendly towns Thirty pieces of silver, no money down Maybe someday, you will understand That something for nothing is everybody's plan[SEP*] Maybe someday you'll remember what you fell When there was blood on the moon in the cotton belt When both of us, baby, were going though some sort of a test Neither one of us could do what we do best I should have known better, baby, I should have called your bluff I guess I was too off the handle, not sentimental enough Maybe someday, you'll believe me when I say That I wanted you, baby, in every kind of way[SEP*] Maybe someday you'll hear a voice from on high Sayin' ""For whose sake did you live, for whose sake did you die?"" Forgive me, baby, for what I didn't do For not breakin' down no bedroom door to get at you Always was a sucker for the right cross Never wanted to go home 'til the last cent was lost Maybe someday you will look back and see That I made it so easy for you to follow me[SEP*] Maybe someday there'll be nothing to tell But I'm just as happy as you, baby, I just can't say it so well Never slumbered or slept or waited for lightning to strike There's no excuse for you to say that we don't think alike You said you were going' to Frisco, stay a couple of months I always liked San Francisco, I was there for a party once Maybe someday you'll see that it's true There was no greater love than what I had for you",1986,0.059,0.818,0.123,0.9833
Big Brother,David Bowie,"Don't talk of dust and roses Or should we powder our noses? Don't live for last year's capers Give me steel, give me steel, give me pulsars unreal[SEP*] He'll build a glass asylum With just a hint of mayhem He'll build a better whirlpool We'll be living from sin Then we can really begin[SEP*] Please saviour, saviour, show us Hear me, I'm graphically yours Someone to claim us, someone to follow Someone to shame us, some brave Apollo Someone to fool us, someone like you We want you, Big Brother, Big Brother[SEP*] I know you think you're awful square But you made everyone and you've been everywhere Lord, I'd take an overdose if you knew what's going down[SEP*] Someone to claim us, someone to follow Someone to shame us, some brave Apollo Someone to fool us, someone like you Someone to claim us, someone to follow Someone to shame us, some brave Apollo Someone to fool, someone like you[SEP*] Someone to claim us, someone to follow Someone to shame us, some brave Apollo Someone to fool, someone like you We want you, Big Brother",1974,0.144,0.705,0.151,-0.1182
Waitin' on a Sunny Day,Bruce Springsteen,"It's raining But there ain't a cloud in the sky Must have been a tear from your eye Everything will be okay[SEP*] It's funny I thought I felt a sweet summer breeze Must've been you sighing so deep Don't worry, we're gonna find a way[SEP*] I'm waitin' Waitin' on a sunny day Gonna chase the clouds away Yeah, I'm waitin' on a sunny day[SEP*] Without you I'm working with the rain falling down I'm half a party in a one dog town I need you to chase these blues away[SEP*] Without you I'm a drummer, girl, that can't keep a beat Ice cream truck on a deserted street I hope that you're coming to stay[SEP*] I'm waitin' Waitin' on a sunny day Gonna chase the clouds away Waitin' on a sunny day[SEP*] Hard times Baby, well, they come to us all Sure as the ticking of the clock on the wall Sure as the turning of the night into day[SEP*] Your smile, girl Brings the morning light to my eyes Lifts away the blues when I rise I hope that you're coming to stay[SEP*] 'Cause I'm waitin' Waitin' on a sunny day Gonna chase the clouds away Waitin' on a sunny day[SEP*]",2002,0.015,0.712,0.273,0.9958
True Love Tends to Forget,Bob Dylan,"I'm getting weary looking in my baby's eyes When she's near me she's so hard to recognize. I finally realize there's no room for regret, True love, true love, true love tends to forget.[SEP*] Hold me, baby be near, You told me that you'd be sincere. Every day of the year's like playin' Russian roulette, True love, true love, true love tends to forget.[SEP*] I was lyin' down in the reeds without any oxygen I saw you in the wilderness among the men. Saw you drift into infinity and come back again All you got to do is wait and I'll tell you when.[SEP*] You're a tearjerker, baby, but I'm under your spell, You're a hard worker, baby, and I know you well. But this weekend in hell is making me sweat, True love, true love, true love tends to forget, True love, true love, true love tends to forget.[SEP*] I was lyin' down in the reeds without any oxygen I saw you in the wilderness among the men. Saw you drift into infinity and come back again All you got to do is wait and I'll tell you when.[SEP*] You belong to me, baby, without any doubt, Don't forsake me, baby, don't sell me out. Don't keep me knockin' about from Mexico to Tibet, True love, true love, true love tends to forget.",1978,0.079,0.539,0.382,0.9986
Blinded by the Light,Bruce Springsteen,"Blinded by the light Revved up like a deuce, another runner in the night Blinded by the light Revved up like a deuce, another runner in the night Blinded by the light Revved up like a deuce, another runner in the night[SEP*] Madman drummers bummers, Indians in the summer with a teenage diplomat In the dumps with the mumps as the adolescent pumps His way into his hat With a boulder on my shoulder, feelin' kinda older I tripped the merry-go-round With this very unpleasin' sneezin' and wheezin' The calliope crashed to the ground The calliope crashed to the ground[SEP*] But she was blinded by the light Revved up like a deuce, another runner in the night Blinded by the light Revved up like a deuce, another runner in the night Blinded by the light Revved up like a deuce, another runner in the night Blinded by the light Revved up like a deuce, another runner in the night[SEP*] Some silicone sister with a manager mister Told me I got what it takes She said, ""I'll turn you on, sonny, to something strong Play the song with the funky break"" And go-kart Mozart was checkin' out the weather chart To see if it was safe outside And little Early-Pearly came by in his curly-wurly And asked me if I needed a ride Asked me if I needed a ride[SEP*] But she was blinded by the light Revved up like a deuce, another runner in the night Blinded by the light She got down but she never got tired She's gonna make it through the night She's gonna make it through the night[SEP*] But mama, that's where the fun is But mama, that's where the fun is Mama always told me not to look into the eyes of the sun But mama, that's where the fun is[SEP*] Some brimstone baritone anticyclone rolling stone Preacher from the east Says, ""Dethrone the dictaphone, hit it in it's funny bone That's where they expect it least"" And some new-mown chaperone was standin' in the corner Watchin' the young girls dance And some fresh-sown moonstone was messin' with his frozen zone Remindin' him of romance[SEP*] The calliope crashed to the ground But she was blinded by the light Revved up like a deuce, another runner in the night Blinded by the light Revved up like a deuce, another runner in the night[SEP*] Blinded by the light (madman drummers bummers, Indians in the summer) Revved up like a deuce, another runner in the night (with a teenage diplomat) Blinded by the light (in the dumps with the mumps as the adolescent pumps) Revved up like a deuce, another runner in the night (his way into his hat) Blinded by the light (with a boulder on my shoulder, feelin' kinda older) Revved up like a deuce, another runner in the night (I tripped the merry-go-round) Blinded by the light (with this very unpleasin' sneezin' and wheezin') Revved up like a deuce, another runner in the night (the calliope crashed to the ground) Blinded by the light (now Scott with a slingshot finally found a tender spot) Revved up like a deuce, another runner in the night (and throws his lover in the sand) Blinded by the light (and some bloodshot forget-me-not said daddy's within earshot) Revved up like a deuce, another runner in the night (save the buckshot, turn up the band) Blinded by the light (some silicone sister with a manager mister) Revved up like a deuce, another runner in the night (told me I got what it takes) Blinded by the light (she said, ""I'll turn you on, sonny, to something strong"")[SEP*] She got down, but she never got tired She's gonna make it through the night",1973,0.011,0.845,0.145,0.9982
Take It Away,Paul McCartney,"Take it away Want to hear you play Till the lights go down Take it away Don't you want to stay Till there's no one else around?[SEP*] Take it away Want to hear you play Till the lights go down Take it away Don't you want to stay Till there's no one else around?[SEP*] Lonely driver Out on the road With a hundred miles to go Sole survivor Carrying the load Switches on his radio[SEP*] Take it away Want to hear you play Till the lights go down (down down) Take it away Don't you want to stay Till there's no one else around?[SEP*] Take it away Want to hear you play Till the lights go down (down down) Take it away Don't you want to stay Till there's no one else around?[SEP*] In the audience Watching the show With a paper in his hand (In his hand, in his hand) Some important impresario Has a message for the band[SEP*] Oh Take it away Want to hear you play Till the lights go down (down down) Take it away Don't you want to stay Till there's no one else around?[SEP*] You never know who may be Listening to you Never know who may be Listening to you You never know who may be Listening to you Take it away, take it away[SEP*] After hours Late in the bar By a darkened corner seat Faded flowers wait in the jar Till the evening is complete",1982,0.074,0.812,0.114,0.8898
Stolen Car,Bruce Springsteen,"Well I found me a little girl and I settled down In a pretty little house, in a pretty little town We got married and promised never to part Then little by little we drifted from each other's hearts[SEP*] Now I'm driving a stolen car on a pitch-black night And I'm doing my best to make it through Well I'm just sitting down here at the Stanton light I wanna get caught but I never do[SEP*] At first I thought it was just restlessness That would fade as time went by and our love grew deep But in the end it was something more, I guess That tore us apart and made us weep[SEP*] And I'm driving a stolen car waiting on that little red light I keep telling myself everything's gonna be alright But I ride by night and I travel in fear That in this darkness I might just disappear[SEP*] She asked if I remembered the letters I wrote When our love was young and we were bold She said last night she read those letters And they made her feel a hundred years old[SEP*] There's a river that runs by that little town Down into the sea It was there in the shade I laid my body down As she flowed on so effortlessly[SEP*] Now there's a party tonight out at County Line There'll be dancing down at Seven Trees From these banks I can see those party lights shine Maybe she's there, maybe she's looking for me[SEP*] Last night I dreamed I made the call I swore to return and stay forevermore Once again we stood on the wedding steps at Victory Hall And walked arm in arm through the chapel door[SEP*] I can remember how good I felt inside When the preacher said ""Son, you may kiss the bride"" But as I leaned over to touch her pretty lips I felt it all slip away through my fingertips[SEP*] And I'm driving a stolen car through a pitch-black night I keep telling myself everything's gonna be alright But I ride by night and I travel in fear No matter what I do or where I drive Nobody ever sees me when I ride by",1980,0.09,0.777,0.133,0.927
The World Tonight,Paul McCartney,"I saw you sitting in the center of a circle Everybody, everybody wanted something from you I saw you sitting[SEP*] I saw you swaying to the rhythm of the music Caught you praying, caught you playing with the voice inside you I saw you swaying there[SEP*] I don't know what you want to be I go back so far, he's in front of me I don't care what you're gonna say As long as the people say, ""Hey, hey, hey""[SEP*] I can see the future I can see the world tonight Love will make me happy And the future bright[SEP*] I saw you sitting at the center of an earthquake Saw you shaking, saw you shaking with the world around you You sitting there[SEP*] I don't know what you want to be I go back so far, he's in front of me I don't care what you're gonna say As long as the people say, ""Hey, hey, hey""[SEP*] I can see the future I can see the world tonight",1997,0.051,0.843,0.105,0.842
